source_path,destination_path,database,module,purpose,classification,execution_status,notes
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/14_award_notepad.sql,"",Oracle,Award,"AWARD_NOTEPAD carries AWARD_ID/AWARD_NUMBER directly - no join needed, same flat shape as 05_award_custom_data.sql/ 09_award_sponsor_terms.sql. AWARD_NOTEPAD_ID is already singular matching the archive column name exa...","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/15_award_closeout.sql,"",Oracle,Award,"AWARD_CLOSEOUT carries AWARD_ID/AWARD_NUMBER/SEQUENCE_NUMBER directly - no join needed, same flat shape as 09_award_sponsor_terms.sql. AWARD_CLOSEOUT_ID is already singular matching the archive column name exactly - n...","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/16_award_payment_schedule.sql,"",Oracle,Award,AWARD_PAYMENT_SCHEDULE carries AWARD_ID/AWARD_NUMBER/SEQUENCE_NUMBER directly - no join needed. AWARD_PAYMENT_SCHEDULE_ID is already singular matching the archive column name exactly - no alias needed,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/17_award_approved_subaward.sql,"",Oracle,Award,AWARD_APPROVED_SUBAWARDS carries AWARD_ID/AWARD_NUMBER/ SEQUENCE_NUMBER directly - no join needed. AWARD_APPROVED_SUBAWARD_ID is already singular matching the archive column name exactly - no,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/18_award_cfda.sql,"",Oracle,Award,AWARD_CFDA carries AWARD_ID/AWARD_NUMBER/SEQUENCE_NUMBER directly - no join needed. AWARD_CFDA_ID is already singular matching the archive column name exactly - no alias needed. Confirmed a REAL,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/19_award_cost_share.sql,"",Oracle,Award,"AWARD_COST_SHARE carries AWARD_ID/AWARD_NUMBER/SEQUENCE_NUMBER directly (all nullable at the Oracle DDL level, unlike most Award child tables - the WHERE AWARD_ID IN (...) bind-variable filter","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/20_award_fanda_rate.sql,"",Oracle,Award,"AWARD_IDC_RATE (archived as archive.award_fanda_rate - the business object AwardFandaRate was renamed from ""IDC Rate"" to ""F&A Rate"" without renaming the underlying Oracle table/columns) carries","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/21_award_science_keyword.sql,"",Oracle,Award,AWARD_SCIENCE_KEYWORD has no AWARD_NUMBER/SEQUENCE_NUMBER columns of its own - the only table in the whole archived Award domain (besides AWARD_SPECIAL_REVIEW below) with just AWARD_ID and nothing,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/22_award_special_review.sql,"",Oracle,Award,AWARD_SPECIAL_REVIEW has no AWARD_NUMBER/SEQUENCE_NUMBER columns of its own - same shape as AWARD_SCIENCE_KEYWORD. Joined back to AWARD here to denormalize AWARD_NUMBER/SEQUENCE_NUMBER for consistency,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/23_award_special_review_exemption.sql,"",Oracle,Award,"AWARD_EXEMPT_NUMBER (archived as archive.award_special_review_exemption) has NO AWARD_ID column at all - its only Oracle-level foreign key is AWARD_SPECIAL_REVIEW_ID, referencing its true parent, AWARD_SPECIAL_REVIEW....","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/24_award_approved_equipment.sql,"",Oracle,Award,AWARD_APPROVED_EQUIPMENT carries AWARD_ID/AWARD_NUMBER/ SEQUENCE_NUMBER directly - no join needed. AWARD_APPROVED_EQUIPMENT_ID is already singular matching the archive column name exactly - no alias needed. No lookups...,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/25_award_approved_foreign_travel.sql,"",Oracle,Award,"AWARD_APPROVED_FOREIGN_TRAVEL carries AWARD_ID/AWARD_NUMBER/ SEQUENCE_NUMBER directly - no join needed. AWARD_APPR_FORN_TRAVEL_ID is aliased to a full, readable archive column name (an Oracle-","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/26_award_subcontracting_budgeted_goals.sql,"",Oracle,Award,"SUBCONTRACTING_BUD is the one structural exception in this bundle: its own Oracle primary key IS award_number itself - no surrogate ID, no AWARD_ID, no SEQUENCE_NUMBER exist for it at all, and there","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/27_award_comment.sql,"",Oracle,Award,AWARD_COMMENT carries AWARD_ID/AWARD_NUMBER/SEQUENCE_NUMBER directly (all nullable at the Oracle DDL level - the WHERE AWARD_ID IN (...) bind-variable filter this query is wrapped in at read time,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/28_award_extension.sql,"",Oracle,Award,AWARD_EXTENSION is a BU-specific 1:1 extension table with no AWARD_NUMBER/SEQUENCE_NUMBER columns of its own - joined back to AWARD here to denormalize them for consistency with every other,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/29_award_cgb.sql,"",Oracle,Award,"AWARD_CGB carries AWARD_ID/AWARD_NUMBER/SEQUENCE_NUMBER directly (a real 1:1 extension table, AWARD_ID is its own key - no surrogate id, no alias needed). ADDITIONAL_FORMS_REQ/MIN_INVOICE_AMT/","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/30_award_hierarchy.sql,"",Oracle,Award,"AWARD_HIERARCHY is version-agnostic (no SEQUENCE_NUMBER column at all) and keyed by AWARD_NUMBER, not AWARD_ID - reclassified from NOT APPLICABLE, see docs/architecture/KUALI_ARCHIVE_COVERAGE.md and","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/31_time_and_money_document.sql,"",Oracle,Award,"TIME_AND_MONEY_DOCUMENT is a real KEW workflow document, the same shape as AWARD_DOCUMENT - DOCUMENT_NUMBER is a KEW-assigned string, not a surrogate sequence. AWARD_NUMBER is the Award family this","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/32_pending_transaction.sql,"",Oracle,Award,PENDING_TRANSACTIONS has no bare AWARD_NUMBER column - only SOURCE_AWARD_NUMBER/DESTINATION_AWARD_NUMBER. A transaction belongs to a loaded Award if it appears on EITHER side - read via,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/33_pending_transaction_extension.sql,"",Oracle,Award,"PENDING_TRANSACTIONS_EXTENSION (BU-specific: bu-db/BUKR-0020, ""add_budget_period_to_tm.sql"") has only TRANSACTION_ID and BUDGET_PERIOD - no AWARD_NUMBER of its own, no UPDATE_TIMESTAMP/","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/34_transaction_detail.sql,"",Oracle,Award,"TRANSACTION_DETAILS is the durable, permanent history ledger (as opposed to PENDING_TRANSACTIONS' working state) - one or more rows written per approved PendingTransaction, classified PRIMARY/","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/35_award_amount_transaction.sql,"",Oracle,Award,"AWARD_AMOUNT_TRANSACTION: one row per (Time and Money document, affected Award) pair. Oracle's own TRANSACTION_ID column here is VARCHAR2(10), NOT the numeric transaction_id used everywhere else in","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/36_award_direct_fanda_distribution.sql,"",Oracle,Award,"AWARD_AMT_FNA_DISTRIBUTION: real child of BOTH Award and AwardAmountInfo - an explicit OJB reference-descriptor FK to AWARD_AMOUNT_INFO_ID confirms this, unlike most other Time and Money","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/37_award_budget.sql,"",Oracle,Award,"AWARD_BUDGET_EXT is Award's real 1:1 extension of the generic BUDGET table, which is SHARED with Proposal Development budgets - the INNER JOIN to AWARD_BUDGET_EXT is what excludes Proposal-only BUDGET","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/38_award_budget_period.sql,"",Oracle,Award,"AWARD_BUDGET_PERIOD_EXT is Award's real 1:1 extension of the generic BUDGET_PERIODS table, also shared with Proposal Development. Joined through to AWARD_BUDGET_EXT purely to resolve AWARD_ID for","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/39_award_budget_line_item.sql,"",Oracle,Award,"AWARD_BUDGET_DETAILS_EXT is Award's real 1:1 extension of the generic BUDGET_DETAILS table, also shared with Proposal Development. BUDGET_DETAILS.BUDGET_ID is a direct column, so AWARD_BUDGET_EXT is","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/40_award_budget_line_item_calculated_amount.sql,"",Oracle,Award,"AWD_BGT_DET_CAL_AMTS_EXT is Award's real 1:1 extension of the generic BUDGET_DETAILS_CAL_AMTS table, also shared with Proposal Development. BUDGET_DETAILS_CAL_AMTS.BUDGET_ID is a direct column,","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/41_award_budget_personnel_detail.sql,"",Oracle,Award,"AWD_BUDGET_PER_DET_EXT is Award's real 1:1 extension of the generic BUDGET_PERSONNEL_DETAILS table, also shared with Proposal Development. BUDGET_PERSONNEL_DETAILS.BUDGET_ID is a direct column,","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/42_award_budget_personnel_calculated_amount.sql,"",Oracle,Award,"AWD_BUDGET_PER_CAL_AMTS_EXT is Award's real 1:1 extension of the generic BUDGET_PERSONNEL_CAL_AMTS table, also shared with Proposal Development. BUDGET_PERSONNEL_CAL_AMTS.BUDGET_ID is a direct column,","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/43_award_budget_period_summary_calculated_amount.sql,"",Oracle,Award,AWD_BGT_PER_SUM_CALC_AMT is standalone (no generic Proposal-shared counterpart) - joined through BUDGET_PERIODS to AWARD_BUDGET_EXT purely to resolve AWARD_ID for filtering and to confirm this period,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/44_award_budget_limit.sql,"",Oracle,Award,"AWARD_BUDGET_LIMIT is standalone and Award-specific already (unlike every other table in this bundle, it is NOT shared with Proposal Development) - AWARD_ID is a direct, Oracle-enforced FK column","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/45_award_budget_person.sql,"",Oracle,Award,"BUDGET_PERSONS is shared with Proposal Development, exactly like BUDGET/BUDGET_PERIODS/BUDGET_DETAILS/etc - but it has no Award-specific ""_EXT"" extension table of its own. Restricted to","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/46_award_transferring_sponsor.sql,"",Oracle,Award,"AWARD_TRANSFERRING_SPONSOR carries AWARD_ID/AWARD_NUMBER/SEQUENCE_NUMBER directly - no join needed to resolve those, same flat shape as 09_award_sponsor_terms.sql. SPONSOR_NAME is denormalized via LEFT","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/47_award_transmission.sql,"",Oracle,Award,AWARD_TRANSMISSION is a BU-specific SAP-integration history table (edu.bu.kuali.kra.bo.AwardTransmission) with no AWARD_NUMBER/ SEQUENCE_NUMBER columns of its own - joined back to AWARD here to,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/48_award_transmission_child.sql,"",Oracle,Award,AWARD_TRANSMISSION_CHILD is a BU-specific SAP-integration history table (edu.bu.kuali.kra.bo.AwardTransmissionChild) representing one hierarchy-child Award included in a specific transmission attempt.,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/award/award_funding_proposals_columns.sql,"",Oracle,Award,award funding proposals columns,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/proposal/01_proposal_versions.sql,"",Oracle,Proposal,01 proposal versions,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/proposal/03_proposal_person_roles.sql,"",Oracle,Proposal,03 proposal person roles,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/extract/proposal/proposal_columns.sql,"",Oracle,Proposal,proposal columns,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/schema/001_archive_schema.sql,"",PostgreSQL,Cross-module/platform,001 archive schema,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/schema/002_load_tracking.sql,"",PostgreSQL,Cross-module/platform,002 load tracking,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/schema/003_reference_tables.sql,"",PostgreSQL,Reference data,003 reference tables,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/schema/004_research_record.sql,"",PostgreSQL,Cross-module/platform,004 research record,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/schema/005_record_relationships.sql,"",PostgreSQL,Cross-module/platform,005 record relationships,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/schema/006_irb.sql,"",PostgreSQL,IRB,006 irb,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/schema/007_business_modules.sql,"",PostgreSQL,Cross-module/platform,007 business modules,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/schema/008_documents.sql,"",PostgreSQL,Cross-module/platform,008 documents,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/verify/negotiation_load.sql,"",PostgreSQL,Negotiation,PostgreSQL verification for a completed Negotiation archive load.,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/verify/subaward_attachment_archive.sql,"",PostgreSQL,Subaward,PostgreSQL metadata verification for archived Subaward attachment files.,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/verify/subaward_load.sql,"",PostgreSQL,Subaward,PostgreSQL verification for a completed Subaward archive load.,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/sql/views/001_dashboard_views.sql,"",PostgreSQL,Cross-module/platform,001 dashboard views,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
database/migrations/V001__create_archive_schema.sql,"",PostgreSQL,Cross-module/platform,V001  create archive schema,Research Archive Platform database migration or application-specific SQL,Reference only; excluded application-specific migration/schema SQL,Excluded because it creates or changes Research Archive PostgreSQL application schema. Reusable source knowledge is preserved in the Oracle/extraction copies instead.
database/migrations/V002__create_load_tracking.sql,"",PostgreSQL,Cross-module/platform,V002  create load tracking,Research Archive Platform database migration or application-specific SQL,Reference only; excluded application-specific migration/schema SQL,Excluded because it creates or changes Research Archive PostgreSQL application schema. Reusable source knowledge is preserved in the Oracle/extraction copies instead.
database/migrations/V003__create_research_records.sql,"",PostgreSQL,Cross-module/platform,V003  create research records,Research Archive Platform database migration or application-specific SQL,Reference only; excluded application-specific migration/schema SQL,Excluded because it creates or changes Research Archive PostgreSQL application schema. Reusable source knowledge is preserved in the Oracle/extraction copies instead.
database/migrations/V004__create_irb_tables.sql,"",PostgreSQL,IRB,V004  create irb tables,Research Archive Platform database migration or application-specific SQL,Reference only; excluded application-specific migration/schema SQL,Excluded because it creates or changes Research Archive PostgreSQL application schema. Reusable source knowledge is preserved in the Oracle/extraction copies instead.
database/migrations/V005__create_irb_load_procedure.sql,"",PostgreSQL,IRB,V005  create irb load procedure,Research Archive Platform database migration or application-specific SQL,Reference only; excluded application-specific migration/schema SQL,Excluded because it creates or changes Research Archive PostgreSQL application schema. Reusable source knowledge is preserved in the Oracle/extraction copies instead.
database/migrations/V006__create_archive_views.sql,"",PostgreSQL,Cross-module/platform,V006  create archive views,Research Archive Platform database migration or application-specific SQL,Reference only; excluded application-specific migration/schema SQL,Excluded because it creates or changes Research Archive PostgreSQL application schema. Reusable source knowledge is preserved in the Oracle/extraction copies instead.
database/migrations/V007__create_irb_composite_history.sql,"",PostgreSQL,IRB,V007  create irb composite history,Research Archive Platform database migration or application-specific SQL,Reference only; excluded application-specific migration/schema SQL,Excluded because it creates or changes Research Archive PostgreSQL application schema. Reusable source knowledge is preserved in the Oracle/extraction copies instead.
database/migrations/V008__create_irb_composite_stage.sql,"",PostgreSQL,IRB,V008  create irb composite stage,Research Archive Platform database migration or application-specific SQL,Reference only; excluded application-specific migration/schema SQL,Excluded because it creates or changes Research Archive PostgreSQL application schema. Reusable source knowledge is preserved in the Oracle/extraction copies instead.
database/migrations/V009__create_global_search_view.sql,"",PostgreSQL,Cross-module/platform,V009  create global search view,Research Archive Platform database migration or application-specific SQL,Reference only; excluded application-specific migration/schema SQL,Excluded because it creates or changes Research Archive PostgreSQL application schema. Reusable source knowledge is preserved in the Oracle/extraction copies instead.
database/migrations/V010__expand_global_search_to_history.sql,"",PostgreSQL,Cross-module/platform,V010  expand global search to history,Research Archive Platform database migration or application-specific SQL,Reference only; excluded application-specific migration/schema SQL,Excluded because it creates or changes Research Archive PostgreSQL application schema. Reusable source knowledge is preserved in the Oracle/extraction copies instead.
database/migrations/V011__create_award_archive_tables.sql,"",PostgreSQL,Award,V011  create award archive tables,Research Archive Platform database migration or application-specific SQL,Reference only; excluded application-specific migration/schema SQL,Excluded because it creates or changes Research Archive PostgreSQL application schema. Reusable source knowledge is preserved in the Oracle/extraction copies instead.
database/migrations/V012__allow_multiple_award_rows_per_sequence.sql,"",PostgreSQL,Award,V012  allow multiple award rows per sequence,Research Archive Platform database migration or application-specific SQL,Reference only; excluded application-specific migration/schema SQL,Excluded because it creates or changes Research Archive PostgreSQL application schema. Reusable source knowledge is preserved in the Oracle/extraction copies instead.
database/migrations/V013__add_award_primary_current_flag.sql,"",PostgreSQL,Award,V013  add award primary current flag,Research Archive Platform database migration or application-specific SQL,Reference only; excluded application-specific migration/schema SQL,Excluded because it creates or changes Research Archive PostgreSQL application schema. Reusable source knowledge is preserved in the Oracle/extraction copies instead.
database/migrations/V014__create_award_unit_contact.sql,"",PostgreSQL,Award,V014  create award unit contact,Research Archive Platform database migration or application-specific SQL,Reference only; excluded application-specific migration/schema SQL,Excluded because it creates or changes Research Archive PostgreSQL application schema. Reusable source knowledge is preserved in the Oracle/extraction copies instead.
database/migrations/V015__create_proposal_archive_tables.sql,"",PostgreSQL,Proposal,V015  create proposal archive tables,Research Archive Platform database migration or application-specific SQL,Reference only; excluded application-specific migration/schema SQL,Excluded because it creates or changes Research Archive PostgreSQL application schema. Reusable source knowledge is preserved in the Oracle/extraction copies instead.
database/migrations/V016__expand_proposal_person.sql,"",PostgreSQL,Proposal,V016  expand proposal person,Research Archive Platform database migration or application-specific SQL,Reference only; excluded application-specific migration/schema SQL,Excluded because it creates or changes Research Archive PostgreSQL application schema. Reusable source knowledge is preserved in the Oracle/extraction copies instead.
database/migrations/V017__create_negotiation_archive_tables.sql,"",PostgreSQL,Negotiation,V017  create negotiation archive tables,Research Archive Platform database migration or application-specific SQL,Reference only; excluded application-specific migration/schema SQL,Excluded because it creates or changes Research Archive PostgreSQL application schema. Reusable source knowledge is preserved in the Oracle/extraction copies instead.
database/migrations/V018__create_subaward_archive_tables.sql,"",PostgreSQL,Subaward,V018  create subaward archive tables,Research Archive Platform database migration or application-specific SQL,Reference only; excluded application-specific migration/schema SQL,Excluded because it creates or changes Research Archive PostgreSQL application schema. Reusable source knowledge is preserved in the Oracle/extraction copies instead.
